"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"rversions","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"rvest","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.4",NA,"R (>= 3.6)","cli, glue, httr (>= 0.5), lifecycle (>= 1.0.3), magrittr,
rlang (>= 1.1.0), selectr, tibble, xml2 (>= 1.3)",NA,"chromote, covr, knitr, R6, readr, repurrrsive, rmarkdown,
spelling, stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"RWeka","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-46",NA,"R (>= 2.6.0)","RWekajars (>= 3.9.3-1), rJava (>= 0.6-3), graphics, stats,
utils, grid",NA,"partykit (>= 0.8.0), mlbench, e1071",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"RWekajars","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.9.3-2",NA,NA,"rJava (>= 0.6-3)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"rworldmap","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3-8",NA,"R (>= 2.10.0), sp","fields, methods, raster, terra",NA,"rworldxtra, RColorBrewer, classInt, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"s2","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.6",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","bit64, testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.3.1"
"S4Arrays","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.1",NA,"R (>= 4.3.0), methods, Matrix, abind, BiocGenerics (>=
0.45.2), S4Vectors, IRanges","stats, crayon","S4Vectors","BiocParallel, SparseArray (>= 0.0.4), DelayedArray, testthat,
knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"S4Vectors","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.40.2",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle,
knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"sandwich","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1-0",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.1"
"sass","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.9",NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"scales","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.0",NA,"R (>= 3.6)","cli, farver (>= 2.0.3), glue, labeling, lifecycle, munsell (>=
0.5), R6, RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"scatterplot3d","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3-44",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"sdm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2-32",NA,"methods, R (>= 3.5.0), terra","sp, raster",NA,"R.rsp, shinyBS, shiny, dismo",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"segmented","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0-3",NA,"R (>= 3.5.0), MASS, nlme",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"selectr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.3.0"
"sem","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1-15",NA,"R (>= 3.5.0), stats","MASS, boot, mi (>= 0.9-99), utils",NA,"polycor, DiagrammeR (>= 1.0.9)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"seqinr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.2-36",NA,"R (>= 2.10.0)","ade4,segmented",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"seriation","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5.4",NA,"R (>= 2.14.0)","ca, cluster, colorspace, foreach, gclus, grDevices, grid,
MASS, qap, registry, stats, TSP, vegan",NA,"dbscan, DendSer, dendextend, doParallel, GA, ggplot2, keras,
Rtsne, scales, smacof, tensorflow, testthat, umap",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"sessioninfo","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"setRNG","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2024.2-1",NA,"R (>= 2.5.0)","stats",NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"sets","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-25",NA,"R (>= 2.7.0)","graphics,grDevices,stats,utils",NA,"proxy",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"sf","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-16",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, nanoarrow, covr, dplyr (>= 1.0.0), ggplot2, knitr,
lwgeom (>= 0.2-14), maps, mapview, Matrix, microbenchmark,
odbc, pbapply, pillar, pool, raster, rlang, rmarkdown,
RPostgres (>= 1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4),
spatstat (>= 2.0-1), spatstat.geom, spatstat.random,
spatstat.linnet, spatstat.utils, stars (>= 0.2-0), terra,
testthat (>= 3.0.0), tibble (>= 1.4.1), tidyr (>= 1.2.0),
tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk (>= 0.9.0)",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sfsmisc","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1-17",NA,"R (>= 3.3.0)","grDevices, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme,
lokern, Rmpfr, gmp","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, e1071, Hmisc,
pastecs, polynom, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"shades","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.0",NA,NA,NA,NA,"testthat, covr, ggplot2","colorspace","BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.3.0"
"shape","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.6.1",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"shiny","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, lifecycle (>= 0.2.0)",NA,"datasets, DT, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr
(>= 1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyAce","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.2",NA,"R (>= 3.3.0)","shiny (>= 1.0.5), jsonlite, utils, tools",NA,"testthat (>= 2.0.0), dplyr (>= 0.8.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinycssloaders","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.0",NA,"R (>= 3.1)","digest, glue, grDevices, shiny",NA,"shinydisconnect, shinyjs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinydashboard","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7.2",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinydashboardPlus","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0.3",NA,NA,"shiny, htmltools, shinydashboard, fresh, waiter (>= 0.2.3),
lifecycle",NA,"styler (>= 1.2.0), shinyAce, shinyWidgets, shinyEffects,
shinyjqui, knitr, rmarkdown, jsonlite",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinyEffects","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.0",NA,NA,"htmltools, shiny",NA,"shinydashboard, shinydashboardPlus, bs4Dash, rmarkdown, knitr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinyFiles","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.9.3",NA,NA,"htmltools, jsonlite, tools, shiny (>= 1.1.0), fs (>= 1.2.6),
tibble (>= 1.4.2)",NA,"covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"shinyjqui","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.1",NA,"R (>= 3.2.0)","shiny (>= 1.5.0), htmltools, htmlwidgets, jsonlite, rlang",NA,"ggplot2, highcharter, knitr, markdown, rmarkdown, plotly",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinyjs","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinythemes","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"shinyWidgets","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8.3",NA,"R (>= 3.1.0)","anytime, bslib, sass, shiny (>= 1.6.0), htmltools (>= 0.5.1),
jsonlite, grDevices, rlang",NA,"testthat, covr, ggplot2, DT, scales, shinydashboard,
shinydashboardPlus",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"signal","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8-0",NA,"R (>= 3.5.0)","MASS, graphics, grDevices, stats, utils",NA,"pracma","matlab","GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"slam","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1-50",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"sm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2-6.0",NA,"R (>= 3.1.0)",NA,NA,"rgl, misc3d, interp, gam, tkrplot, rpanel (>= 1.1-4), tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"sna","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.7-2",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"snow","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.3.0"
"SnowballC","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7.1",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"sodium","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.1",NA,NA,NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"SoilR","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.107",NA,"R (>= 3.5.0), deSolve,methods","igraph,assertthat,parallel,expm,sets,purrr",NA,"FME,lattice,MASS,knitr,rmarkdown,getopt,tinytex",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"solrium","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,NA,"utils, dplyr (>= 0.5.0), plyr (>= 1.8.4), crul (>= 0.4.0),
xml2 (>= 1.0.0), jsonlite (>= 1.0), tibble (>= 1.4.2), R6",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"sourcetools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"sp","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1-3",NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, rmarkdown, sf, terra,
raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spacefillr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.2",NA,NA,"Rcpp (>= 1.0.0)","Rcpp",NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"spaceNet","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2",NA,"R (>= 3.0)","MASS, mclust (>= 5.3), permute, RcppTN, Rfast, sna, vegan",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"spam","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.10-0",NA,"R (>= 3.5)","dotCall64, grid, methods, Rcpp (>= 1.0.8.3)","Rcpp","spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sparkline","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0",NA,NA,"htmltools, htmlwidgets (>= 0.8)",NA,"formattable, knitr, rmarkdown, shiny",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"sparklyr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.5",NA,"R (>= 3.2)","config (>= 0.2), DBI (>= 1.0.0), dbplyr (>= 2.5.0), dplyr (>=
1.0.9), generics, globals, glue, httr (>= 1.2.1), jsonlite (>=
1.4), methods, openssl (>= 0.8), purrr, rlang (>= 0.1.4),
rstudioapi (>= 0.10), tidyr (>= 1.2.0), tidyselect, uuid,
vctrs, withr, xml2",NA,"arrow (>= 0.17.0), broom, diffobj, foreach, ggplot2,
iterators, janeaustenr, Lahman, mlbench, nnet, nycflights13,
R6, r2d3, RCurl, reshape2, shiny (>= 1.0.1), parsnip, testthat,
rprojroot",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"SparseArray","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.4",NA,"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors, S4Arrays (>= 1.1.6)","stats, matrixStats, IRanges, XVector","S4Vectors, IRanges, XVector","DelayedArray, testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"sparseIndexTracking","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.1",NA,"","",NA,"bookdown, knitr, prettydoc, rmarkdown, R.rsp, xts",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"SparseM","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"spatial","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","7.3-17","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"spatstat","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0-8",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-4), spatstat.geom (>=
3.2-9), spatstat.random (>= 3.2-3), spatstat.explore (>=
3.2-7), spatstat.model (>= 3.2-11), spatstat.linnet (>= 3.1-5),
utils","spatstat.utils (>= 3.0-4)",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.data","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0-4",NA,"R (>= 3.5.0)","spatstat.utils (>= 3.0-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"spatstat.explore","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.2-7",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-4), spatstat.geom (>=
3.2-9), spatstat.random (>= 3.2-3), stats, graphics, grDevices,
utils, methods, nlme","spatstat.utils (>= 3.0-4), spatstat.sparse (>= 3.0-3), goftest
(>= 1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.1-4), spatstat.model (>= 3.2-10),
spatstat (>= 3.0-7)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.geom","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.2-9",NA,"R (>= 3.5.0), spatstat.data (>= 3.0), stats, graphics,
grDevices, utils, methods","spatstat.utils (>= 3.0-2), deldir (>= 1.0-2), polyclip (>=
1.10-0)",NA,"spatstat.random, spatstat.explore, spatstat.model,
spatstat.linnet, spatial, fftwtools (>= 0.9-8), spatstat (>=
3.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.linnet","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1-5",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-4), spatstat.geom (>=
3.2-9), spatstat.random (>= 3.2-3), spatstat.explore (>=
3.2-7), spatstat.model (>= 3.2-11), stats, graphics, grDevices,
methods, utils","spatstat.utils (>= 3.0-4), Matrix, spatstat.sparse (>= 3.0-3)",NA,"goftest, locfit, spatstat (>= 3.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.model","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.2-11",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-4), spatstat.geom (>=
3.2-9), spatstat.random (>= 3.2-3), spatstat.explore (>=
3.2-7), stats, graphics, grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 3.0-4), spatstat.sparse (>= 3.0-3), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8), nleqslv,
glmnet, spatstat.linnet (>= 3.1-4), spatstat (>= 3.0-7)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.random","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.2-3",NA,"R (>= 3.5.0), spatstat.data (>= 3.0), spatstat.geom (>=
3.2-9), stats, utils, methods, grDevices","spatstat.utils (>= 3.0-2)",NA,"spatial, spatstat.linnet (>= 3.0), spatstat.explore,
spatstat.model, spatstat (>= 3.0), gsl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.sparse","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0-3",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.utils","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0-4",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spData","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.3.0",NA,"R (>= 3.3.0)","sp",NA,"foreign, sf (>= 0.9-1), spDataLarge (>= 0.4.0), spdep,
spatialreg,",NA,"CC0",NA,NA,NA,NA,"no","4.3.0"
"spdep","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3-3",NA,"R (>= 3.3.0), methods, spData (>= 0.2.6.0), sf","stats, deldir, boot (>= 1.3-1), graphics, utils, grDevices,
units, s2, e1071, sp (>= 1.0)",NA,"spatialreg (>= 1.2-1), Matrix, parallel, dbscan,
RColorBrewer, lattice, xtable, foreign, igraph, RSpectra,
knitr, classInt, tmap, spam, ggplot2, rmarkdown, tinytest,
rgeoda",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"splines","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.3.3",NA,NA,NA,NA,"yes","4.3.3"
"spThin","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.0",NA,"spam, grid, fields, knitr","grDevices, graphics, utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"sqldf","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-11",NA,"R (>= 3.1.0), gsubfn (>= 0.6), proto, RSQLite","DBI, chron",NA,"RH2, RMySQL, RPostgreSQL, svUnit, tcltk, MASS",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"SQUAREM","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"SSDM","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.9",NA,"R (>= 3.2.2)","sf (>= 1.0-14), raster (>= 2.9-5), methods (>= 3.2.2), mgcv
(>= 1.8.7), earth (>= 4.4.3), rpart (>= 4.1.10), gbm (>=
2.1.1), randomForest (>= 4.6.10), dismo (>= 1.0.12), nnet (>=
7.3.10), e1071 (>= 1.6.7), ggplot2 (>= 3.1.1), reshape2 (>=
1.4.3), scales (>= 1.0.0), shiny (>= 0.12.2), shinydashboard
(>= 0.5.1), spThin (>= 0.1.0), poibin (>= 1.3.0), foreach (>=
1.4.4), doParallel (>= 1.0.14), iterators (>= 1.0.10),
itertools (>= 0.1-3), parallel (>= 3.5.2), leaflet (>= 2.2.0),
magrittr (>= 2.0.3), sdm (>= 1.1.8)",NA,"testthat, knitr, rmarkdown, shinyFiles",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"stable","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.6",NA,"R (>= 1.4), rmutil",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"stabledist","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7-1",NA,"R (>= 3.1.0)","stats",NA,"Matrix, fBasics, FMStable, RUnit, Rmpfr, sfsmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"statip","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.3",NA,"R (>= 3.1.3)","clue, graphics, rpart, stats",NA,"knitr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"statmod","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5.0",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"statnet.common","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.9.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools",NA,"covr, rlang (>= 1.1.1), MASS, Matrix",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"stats","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.3.3",NA,NA,NA,NA,"yes","4.3.3"
"stats4","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.3.3",NA,NA,NA,NA,NA,"4.3.3"
"storr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.5",NA,"R (>= 3.3.0)","R6 (>= 2.1.0), digest",NA,"DBI (>= 0.6), RSQLite (>= 1.1-2), RPostgres, knitr, mockr,
parallel, progress, rbenchmark, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"strap","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6-0",NA,"ape, geoscale","graphics, grDevices, pbapply, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"stringi","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.3",NA,"R (>= 3.4)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.3.1"
